X,Y,OBJECTID,NAME,CLASS,POP,INCORPDATE,POLICE,TROOPER
-150.0455387,61.74401602,94,Willow,Unincorporated,408,0,,
-149.3644221,61.45750165,95,Eklutna,Unincorporated,425,0,,
-145.5278056,62.11267076,96,Glennallen,Unincorporated,513,0,,
-145.3073375,61.95451356,97,Copper Center,Unincorporated,536,0,,
-144.4390064,61.51533471,98,Chitina,Unincorporated,84,0,,
-145.3719018,62.26858241,99,Gulkana,Unincorporated,95,0,,
-145.301897,62.30189915,100,Gakona,Unincorporated,23,0,,
-144.6642115,62.56636468,101,Chistochina,Unincorporated,55,0,,
-143.0118097,62.37195873,102,Nabesna,Unincorporated,0,0,,
-142.9237233,61.43288244,103,McCarthy,Unincorporated,28,0,,
-139.7500541,59.55876425,104,Yakutat,Unincorporated,833,1948,,
-135.3117124,59.45573557,105,Skagway,Unincorporated,816,1900,,
-135.895897,59.40043813,106,Klukwan,Unincorporated,160,0,,
-134.4066602,58.29984393,107,Juneau,Unincorporated,29813,1970,,
-136.229768,57.96067264,108,Pelican,First Class City,187,1943,,
-135.2283117,57.78103549,109,Tenakee Springs,Second Class City,98,1971,,
-135.4457288,58.10954213,110,Hoonah,First Class City,906,1946,,
-136.3451175,58.19405984,111,Elfin Cove,Unincorporated,54,0,,
-134.5808663,57.4995737,112,Angoon,Second Class City,616,1963,,
-133.9448186,56.97445418,113,Kake,First Class City,767,1952,,
-132.3836281,56.47040853,114,Wrangell,Unincorporated,2543,1903,,
-133.622867,56.35239459,115,Point Baker,Unincorporated,57,0,,
-132.9577826,56.81096365,116,Petersburg,Unincorporated,3432,1910,,
-132.9777237,56.8166998,117,Kupreanof,Second Class City,24,1975,,
-134.647015,56.24924189,118,Port Alexander,Second Class City,94,1974,,
-133.6638533,55.94850848,119,Edna Bay,Second Class City,49,2014,,
-133.1511016,55.47604863,120,Craig,First Class City,2043,1922,,
-133.0960535,55.55450863,121,Klawock,First Class City,704,1929,,
-132.4039481,55.53962709,122,Kasaan,Second Class City,42,1976,,
-132.8235324,55.20593037,123,Hydaburg,First Class City,398,1927,,
-132.2562798,55.73926345,124,Meyers Chuck,Unincorporated,28,0,,
-131.648042,55.34243797,125,Ketchikan,Home Rule City,8552,1900,,
-131.5976365,55.31892888,126,Saxman,Second Class City,381,1929,,
-130.025533,55.91575718,127,Hyder,Unincorporated,151,0,,
-135.338643,57.04902535,128,Sitka,Unincorporated,8733,1971,,
-145.7601975,60.54406527,129,Cordova,Home Rule City,2467,1909,,
-146.3551038,61.13024011,130,Valdez,Home Rule City,4184,1901,,
-146.6817441,60.86848721,131,Tatitlek,Unincorporated,99,0,,
-151.7185957,59.44059869,132,Seldovia,First Class City,414,1945,,
-151.8317462,59.35156338,133,Port Graham,Unincorporated,186,0,,
-151.8334849,59.77603039,134,Anchor Point,Unincorporated,866,0,,
-151.5320286,59.64718905,135,Homer,First Class City,4126,1964,,
-151.6751234,60.04305356,136,Ninilchik,Unincorporated,655,0,,
-151.2488285,60.55901536,137,Kenai,Home Rule City,6971,1960,,
-151.0658745,60.4904487,138,Soldotna,Home Rule City,4092,1967,,
-148.6859953,60.77229009,139,Whittier,Second Class City,289,1969,,
-149.6222518,60.91793459,140,Hope,Unincorporated,152,0,,
-151.1434183,61.06808849,141,Tyonek,Unincorporated,151,0,,
-150.1120232,62.32317178,142,Talkeetna,Unincorporated,347,0,,
-149.00587,63.87038604,143,Healy,Unincorporated,603,0,,
-143.356022,63.3762818,144,Tanacross,Unincorporated,85,0,,
-141.9342028,62.96177379,145,Northway,Unincorporated,119,0,,
-142.9877864,63.33589911,146,Tok,Unincorporated,1216,0,,
-141.9336739,64.07262872,147,Chicken,Unincorporated,17,0,,
-145.7366935,64.04716942,148,Delta Junction,Second Class City,855,1960,,
-141.207623,64.78894258,149,Eagle,Second Class City,165,1901,,
-141.0458121,64.74519195,150,Eagle Village,Unincorporated,34,0,,
-144.6390992,65.48304717,151,Circle Hot Springs,Unincorporated,32,0,,
-146.0580003,65.05264539,152,Chena Hot Springs,Unincorporated,0,0,,
-147.7212742,64.83969402,153,Fairbanks,Home Rule City,31850,1903,,
-147.3515224,64.75490449,154,North Pole,Home Rule City,1631,1953,,
-148.5485272,65.52281556,155,Livengood,Unincorporated,0,0,,
-152.314712,63.88261111,156,Lake Minchumina,Unincorporated,45,0,,
-149.1908072,64.3433595,157,Anderson,Second Class City,565,1962,,
-149.0907671,64.56271077,158,Nenana,Home Rule City,356,1921,,
-152.0777297,65.17118415,159,Tanana,First Class City,299,1961,,
-150.6371913,64.99588809,160,Manley Hot Springs,Unincorporated,90,0,,
-150.1718436,65.50338793,161,Rampart,Unincorporated,54,0,,
-144.0667761,65.82664889,162,Circle,Unincorporated,83,0,,
-145.2413115,66.566169,163,Fort Yukon,Second Class City,575,1959,,
-147.3971764,66.3603502,164,Beaver,Unincorporated,103,0,,
-149.0844654,66.00452594,165,Stevens Village,Unincorporated,99,0,,
-151.7358957,68.1418516,166,Anaktuvuk Pass,Second Class City,301,1957,,
-151.508384,66.92187001,167,Bettles,Second Class City,32,1985,,
-152.6495082,66.56004922,168,Allakaket,Second Class City,182,1975,,
-151.5058127,66.92462581,169,Evansville,Unincorporated,43,0,,
-150.1101929,67.40954825,170,Wiseman,Unincorporated,24,0,,
-156.8824006,66.90770094,171,Kobuk,Second Class City,89,1973,,
-157.1382183,66.88804427,172,Shungnak,Second Class City,252,1967,,
-157.8565558,67.08647061,173,Ambler,Second Class City,333,1971,,
-162.5930165,66.89667445,174,Kotzebue,Second Class City,2885,1958,,
-160.4373467,66.97420221,175,Kiana,Second Class City,415,1964,,
-161.0468531,66.83334435,176,Noorvik,Second Class City,571,1964,,
-160.0101374,66.60439102,177,Selawik,Second Class City,696,1977,,
-162.9884968,67.57181261,178,Noatak,Unincorporated,401,0,,
-166.0707904,66.25510385,179,Shishmaref,Second Class City,542,1969,,
-160.0322631,70.63853861,180,Wainwright,Second Class City,550,1962,,
-163.0091685,69.74312157,181,Point Lay,Unincorporated,207,0,,
-166.7343001,68.34808041,182,Point Hope,Second Class City,749,1966,,
-157.4235799,70.48213614,183,Atqasuk,Second Class City,235,1982,,
-156.7610438,71.2893974,184,Utqiagvik,First Class City,4380,1958,,
-150.9990489,70.21731496,185,Nuiqsut,Second Class City,435,1975,,
-143.6128866,70.12661466,186,Kaktovik,Second Class City,222,1971,,
-145.5405272,68.12658662,187,Arctic Village,Unincorporated,96,0,,
-156.3947283,65.70183566,188,Huslia,Second Class City,232,1969,,
-154.2582461,66.04587333,189,Hughes,Second Class City,52,1973,,
-156.8771488,64.74265306,190,Galena,First Class City,543,1971,,
-158.7249571,64.32656386,191,Kaltag,Second Class City,245,1969,,
-158.1053801,64.72341938,192,Nulato,Second Class City,365,1963,,
-157.7027275,64.88178883,193,Koyukuk,Second Class City,113,1973,,
-155.488975,64.73922854,194,Ruby,Second Class City,189,1973,,
-165.4085843,64.4980885,195,Nome,First Class City,3595,1901,,
-163.0367363,64.54239014,196,Golovin,Second Class City,153,1971,,
-162.2645318,64.61655142,197,Elim,Second Class City,291,1970,,
-163.4105149,64.68127678,198,White Mountain,Second Class City,193,1969,,
-161.164899,64.93066077,199,Koyuk,Second Class City,272,1970,,
-161.1290466,65.97765321,200,Buckland,Second Class City,412,1966,,
-166.3652273,65.2629554,201,Teller,Second Class City,265,1963,,
-166.4922265,65.33448659,202,Brevig Mission,Second Class City,265,1969,,
-161.9271604,65.91265428,203,Candle,Unincorporated,11,0,,
-164.441653,64.56056161,204,Solomon,Unincorporated,0,0,,
-163.6764139,64.89499905,205,Council,Unincorporated,0,0,,
-165.0638453,65.14732162,206,Marys Igloo,Unincorporated,0,0,,
-168.0912852,65.6090178,207,Wales,Second Class City,162,1964,,
-171.7188491,63.77688243,208,Gambell,Second Class City,653,1963,,
-163.1751838,62.05147102,209,Saint Mary's,First Class City,504,1967,,
-162.8831586,61.93720199,210,Pilot Station,Second Class City,547,1969,,
-165.5815945,61.84280907,211,Scammon Bay,Second Class City,459,1967,,
-166.0964552,61.53087871,212,Hooper Bay,Second Class City,1012,1966,,
-164.8520268,62.53106424,213,Nunam Iqua,Second Class City,150,1974,,
-164.6675706,62.68697626,214,Alakanuk,Second Class City,651,1969,,
-164.52987,62.77694651,215,Emmonak,Second Class City,798,1964,,
-162.2915217,63.52380914,216,Stebbins,Second Class City,513,1969,,
-162.0399343,63.47835104,217,Saint Michael,Second Class City,341,1969,,
-163.55656,63.03311325,218,Kotlik,Second Class City,543,1970,,
-163.7783647,62.95036773,219,Bill Moores,Unincorporated,0,0,,
-163.89419,62.89611032,220,Hamilton,Unincorporated,0,0,,
-163.2870422,62.03181197,221,Pitkas Point,Unincorporated,154,0,,
-165.5905498,61.52861727,222,Chevak,Second Class City,721,1967,,
-162.0881922,61.88144104,223,Marshall,Second Class City,318,1970,,
-161.8654129,61.56724841,224,Ohogamiut,Unincorporated,0,0,,
-159.7718522,62.19844216,225,Holy Cross,Second Class City,260,1968,,
-159.5306213,62.6553703,226,Shageluk,Second Class City,145,1970,,
-160.1993523,62.65252979,227,Anvik,Second Class City,83,1969,,
-159.5276177,61.57876393,228,Aniak,Second Class City,578,1972,,
-158.7328669,61.53637192,229,Napaimute,Unincorporated,3,0,,
-158.1058397,61.87042563,230,Crooked Creek,Unincorporated,138,0,,
-157.1720684,61.70179575,231,Sleetmute,Unincorporated,102,0,,
-156.5903891,61.78237055,232,Stony River,Unincorporated,42,0,,
-155.4378649,61.35570346,233,Lime Village,Unincorporated,47,0,,
-157.3148987,61.76041908,234,Red Devil,Unincorporated,49,0,,
-160.7919896,63.87663,235,Unalakleet,Second Class City,803,1974,,
-155.5883773,62.95014142,236,McGrath,Second Class City,456,1975,,
-156.0619766,62.98796002,237,Takotna,Unincorporated,63,0,,
-156.5217984,63.14408636,238,Ophir,Unincorporated,0,0,,
-154.3752402,63.0137328,239,Nikolai,Second Class City,108,1970,,
-158.5479981,58.83453475,240,Clark's Point,Second Class City,66,1971,,
-154.8575935,59.9678748,241,Nondalton,Second Class City,221,1971,,
-158.6216464,59.27920777,242,Aleknagik,Second Class City,226,1973,,
-157.4780685,59.35024484,243,Ekwok,Second Class City,124,1974,,
