OBJECTID_1,SQUARE_MIL,NAME,DISPLAY,CLASS_TYPE,INCRP_DATE,Updated,created_us,created_da,last_edite,last_edi_1,GlobalID,SHAPE_1STA,SHAPE_1STL
"143",29.200075219999999,King Cove,Y,First Class City,"1947",Yes,,,,,{216E065F-699C-4DFE-ADB1-8F295B322BAC},75627847.620635986328125,43501.482403163710842
"144",13.938750369999999,Delta Junction,Y,Second Class City,"1960",Yes,,,,,{8B4FFB38-4760-4CDA-8D20-545E729EF7AE},36101197.722473144531250,27754.197660246762098
"145",147.949800430000010,Akutan,Y,Second Class City,"1979",Yes,,,,,{5846FD3E-CEB5-4079-8203-D9CE14A07269},383188224.000274658203125,92967.079916624934413
"146",30.291218709999999,Sand Point,Y,First Class City,"1966",Yes,,,,,{747E8467-8234-422F-A171-BC1142D58D8A},78453896.287673950195312,43860.443646882224130
"147",128.466480689999997,Egegik,Y,Second Class City,"1955",Yes,,,,,{53B9973B-5EF0-4E41-9821-29A7FDFAFE62},332726657.521179199218750,94407.713393851008732
"148",154.804789120000009,Pilot Point,Y,Second Class City,"1992",Yes,,,,,{4B1744DF-6620-477A-BEBF-F62F56951852},400942563.189285278320312,129786.684725209444878
"150",229.219054110000002,Togiak,Y,Second Class City,"1969",Yes,,,,,{37435EE4-66D7-405F-A09E-F9017C999579},593674624.726013183593750,132642.742213957360946
"151",7.038318530000000,Nondalton,Y,Second Class City,"1971",Yes,,,,,{272C6885-AFFC-4373-99C6-DE4BEB4AD6EC},18229161.319972991943359,22534.897974219966272
"152",8.699716290000000,Hoonah,Y,First Class City,"1946",Yes,,,,,{94C3D6D8-277E-4829-AFCD-06CA36494CC1},22532161.739257812500000,22370.894859107909724
"153",0.959540050000000,Saxman,Y,Second Class City,"1929",Yes,,,,,{7342C4A1-4B86-4EC7-862A-74E497FD5D0A},2485197.332641601562500,6746.290076238125948
"154",2.512113760000000,Brevig Mission,Y,Second Class City,"1969",Yes,,,,,{52804981-45CA-4F70-B2D8-BE1A4CB5FA2D},6506344.766479492187500,10874.801186490158216
"155",2.431619470000000,Diomede,Y,Second Class City,"1970",Yes,,,,,{F6A8770E-AF47-4498-BC84-6560644269AE},6297865.511962890625000,9965.013463145807691
"156",2.659124880000000,Elim,Y,Second Class City,"1970",Yes,,,,,{979DB415-0EEB-4B23-B8DD-F82757C710E5},6887101.820129394531250,13643.303638215305909
"158",28.420620280000001,Gambell,Y,Second Class City,"1963",Yes,,,,,{8637E07C-4DF3-4BC9-BBC0-45BF73926FF6},73608137.960815429687500,30491.751783146188245
"159",4.134832190000000,Golovin,Y,Second Class City,"1971",Yes,,,,,{D956D594-57BF-467F-80E3-99D92F1D5704},10709166.204162597656250,16746.878171989541443
"161",2.930475810000000,Shishmaref,Y,Second Class City,"1969",Yes,,,,,{37ED9F6C-E897-4D48-A467-2AFD3C915857},7589897.507934570312500,17318.017306374571490
"162",1.680381130000000,Teller,Y,Second Class City,"1963",Yes,,,,,{7C04F856-2CE3-49C7-A07E-E6BF75FB6408},4352167.156250000000000,13360.760951637537801
"163",4.945549440000000,Unalakleet,Y,Second Class City,"1974",Yes,,,,,{0D8820C9-C3BE-406E-960D-8B59FDBDEB8C},12808914.235839843750000,16751.610769766404701
"164",2.303546610000000,Wales,Y,Second Class City,"1964",Yes,,,,,{4D9A08F0-7345-4717-97D5-69205445C49B},5966158.322509765625000,11171.702549812391226
"165",3.333592310000000,Goodnews Bay,Y,Second Class City,"1970",Yes,,,,,{4655DE01-D619-4AC0-9409-7FDAE366C4BB},8633964.447631835937500,12909.517475917700722
"166",4.686421440000000,Quinhagak,Y,Second Class City,"1975",Yes,,,,,{11C3EA36-3A1A-4269-B546-443D51C0260B},12137775.796051025390625,14418.359779982552936
"167",176.221450890000000,Saint George,Y,Second Class City,"1983",Yes,,,,,{5CA193C1-CE9F-40D2-A7C9-DCA06A329CBC},456411462.543151855468750,82180.364486383594340
"168",252.398766319999993,Saint Paul,Y,Second Class City,"1971",Yes,,,,,{BE4C2106-8AF6-46DC-81CB-8EBD7E340DBC},653709803.743164062500000,113292.327970259517315
"169",4.063920690000000,Marshall,Y,Second Class City,"1970",Yes,,,,,{5DFFA295-3E8A-44CA-8D99-BC6410D097E9},10525506.258483886718750,13234.646792739125885
"170",5.414953590000000,Mountain Village,Y,Second Class City,"1967",Yes,,,,,{0AE51013-10E9-4DB3-AAF7-68EB5A2946CD},14024665.424255371093750,16408.565973911259789
"171",7.956707490000000,Nunapitchuk,Y,Second Class City,"1969",Yes,,,,,{D3C67B52-C928-47C2-9235-C468E8476B5E},20607777.800964355468750,19301.807201916457416
"172",1.144946280000000,Chevak,Y,Second Class City,"1967",Yes,,,,,{9B39D106-1F24-4E26-9A46-5B942F652651},2965397.261047363281250,7537.040074131026813
"173",0.468142200000000,Scammon Bay,Y,Second Class City,"1967",Yes,,,,,{CE19B44B-708A-43B7-913F-9C10EBF3D9D0},1212482.726623535156250,4512.758324465895384
"174",9.609001449999999,Akhiok,Y,Second Class City,"1974",Yes,,,,,{399C5075-6D48-43A4-B544-DBFC66D8B483},24887199.509347915649414,21495.677198786022927
"175",7.030974460000000,Ouzinkie,Y,Second Class City,"1967",Yes,,,,,{9C578FAB-CA2E-4EA1-A802-DE6AFF1CCAB4},18210140.262260437011719,18366.109197970639798
"176",7.146156280000000,Koyukuk,Y,Second Class City,"1973",Yes,,,,,{9891CD14-7F3A-4E79-BEA2-FE989B295172},18508459.787994384765625,18023.625431788015703
"179",11.926978920000000,Anvik,Y,Second Class City,"1969",Yes,,,,,{3D3D6D0B-56EB-4952-8500-A490804D4DDA},30890733.580688476562500,27914.888559626502683
"180",16.341936839999999,Huslia,Y,Second Class City,"1969",Yes,,,,,{D52C2B02-F2CF-4721-94F4-E716C58208DC},42325422.109970092773438,28581.490298901353526
"181",43.784260709999998,Nulato,Y,Second Class City,"1963",Yes,,,,,{7C371B13-8E00-44F5-8EAD-13A8CE063A3C},113400714.650451660156250,50501.437599827913800
"182",7.023882990000000,Ruby,Y,Second Class City,"1973",Yes,,,,,{AA0B5120-5B67-4A67-8E35-BE20FC64FFE9},18191773.420150756835938,18094.503262979669671
"183",55.471857210000003,Gustavus,Y,Second Class City,"2004",Yes,,,,,{2B52BF0C-96FC-44F7-AF20-65F93EFE0777},143671450.615722656250000,65828.403959766888875
"184",5.103660870000000,Deering,Y,Second Class City,"1970",Yes,,,,,{B1A382EB-B076-496B-955E-E1055C2F8470},13218420.983276367187500,17958.182310354244692
"185",26.503682359999999,Kotzebue,Y,Second Class City,"1958",Yes,,,,,{5B8A54A2-ABCD-4CEF-82C3-975FCDFAA86D},68644222.189941406250000,49384.193148628779454
"186",1.265711430000000,Noorvik,Y,Second Class City,"1964",Yes,,,,,{661EA4F9-AFB0-4E29-881E-B1275A1B515E},3278177.546203613281250,7484.605386777653621
"187",21.473445229999999,Utqiagvik,Y,First Class City,"1958",Yes,,,,,{5FC49340-E27B-4290-8920-47750B246851},55615967.834350585937500,38610.461623505994794
"188",1.046515110000000,Kaktovik,Y,Second Class City,"1971",Yes,,,,,{6D1DC12E-4DF7-4B3E-91C0-31A20778E5A8},2710461.696350097656250,8277.838412352048181
"189",5.268228760000000,Point Hope,Y,Second Class City,"1966",Yes,,,,,{DC98B14E-C89B-49F3-843B-11ACD500CF34},13644649.842407226562500,37236.820048030633188
"190",28.035599479999998,Wainwright,Y,Second Class City,"1962",Yes,,,,,{F14A5339-FD76-4599-8D0E-96CEB90E9D1E},72609865.222106933593750,30217.322857311788539
"191",5.515465960000000,Kodiak,Y,Home Rule City,"1940",Yes,,,,,{25BF5896-8873-4AFA-8146-7A9EE7F3AC9B},14284991.264221191406250,22788.450318384075217
"192",47.171281780000001,Kenai,Y,Home Rule City,"1960",Yes,,,,,{9B3F36D5-847D-4264-AAF1-5D598427ACA7},122173058.934753417968750,60861.379437340532604
"193",0.537487270000000,Seldovia,Y,First Class City,"1945",Yes,,,,,{F7B3883B-E2B8-42A9-9FF3-714DD9FA36FA},1392085.632591247558594,5914.993118392751967
"194",25.372449150000001,Homer,Y,First Class City,"1964",Yes,,,,,{98D99FB9-1C8E-413B-B221-01F6C6C7598F},65714341.623077392578125,52311.291899558847945
"195",1.670395990000000,Kachemak,Y,Second Class City,"1961",Yes,,,,,{DBD2AD07-5B4A-41CD-97D3-0C189CF1DAD5},4326305.756484985351562,12443.578179908237871
"196",5.076737030000000,Palmer,Y,Home Rule City,"1951",Yes,,,,,{60D0A27B-097F-444F-8D44-0CEA020E650F},13148688.551300048828125,29597.673981484935211
"198",25.255560660000000,Houston,Y,Second Class City,"1966",Yes,,,,,{B20D4778-1BB8-499D-AFBB-E65FAE664812},65411601.817260742187500,53222.601360059568833
"200",4.059569490000000,North Pole,Y,Home Rule City,"1953",Yes,,,,,{4DECB71D-4D54-47CC-898F-C3B400B8BF08},10514236.709197998046875,20922.807273841764982
"201",26.974691090000000,Edna Bay,Y,Second Class City,"2014",Yes,,,,,{2B8F878C-D248-4B33-B19A-207AA2946248},69864129.205627441406250,33137.957648490526481
"202",71.875613329999993,Adak,Y,Second Class City,"2001",Yes,,,,,{580BC34D-C92D-43C6-BD66-84D7C9C2316F},186156983.923706054687500,60385.750164111654158
"204",32.612102710000002,Fairbanks,Y,Home Rule City,"1903",Yes,,,,,{DDD26760-095E-4AB2-A9BF-80CAB711115D},84464958.247985839843750,57289.461889108533796
"205",25.839609209999999,Whale Pass,Y,Second Class City,"2017",Yes,,,,,{ACE3AF36-35B7-45AD-8255-A62AABB0F75D},66924280.615356445312500,38547.008795026027656
"135",65.546985010000000,False Pass,Y,Second Class City,"1990",Yes,,,GIS_OWNER_DCRA,2018-06-13T16:38:38.000Z,{1DF8301B-DCBC-41F8-8855-20962FECF878},169765911.818695068359375,80106.360262377565959
"197",13.196816900000000,Wasilla,Y,First Class City,"1974",Yes,,,GIS_OWNER_DCRA,2018-12-20T21:01:48.000Z,{A702DCE1-8AE6-490D-9233-5D47307E8D6C},34180686.409027099609375,42537.477950673746818
